마커번호,장소이름,위도,경도,장소종류,하위행정구역코드,
,비엔날레 바캉스 문화콘서트,35.1826203741,126.8902591590,1,gj,gj
,광주소셜아트페스티벌,35.1577153417,126.9190988997,1,gj,gj
,광주 국화전시회,35.1467152588,126.8405588979,1,gj,gj
,광주역 도시재생 달빛마켓,35.1642977748,126.9098078898,1,gj,gj
,광주청년주간,35.1505799644,126.9148244566,1,gj,gj
,영산강 환경문화뎐,35.0658591631,126.7610846037,1,gj,gj
,애니메이션 모꼬지 <찾아라! 애니메이션 친구들>,35.1460861028,126.9192936186,1,gj,gj
,충장상권르네상스 라온페스타,35.1498078299,126.9148994693,1,gj,gj
,고싸움놀이축제,35.0696294584,126.8371305664,1,gj,gj
,광주디자인비엔날레,35.1825648257,126.8902647155,1,gj,gj
,제11회 도서관 문화마당,35.1590418545,126.8530408189,1,gj,gj
,2023 아시아컬처마켓 도시 속 문화장터 <도담: 도시를 담다>,35.1460861028,126.9192936186,1,gj,gj
,무등산 인문축제,35.1332354693,126.9602986501,1,gj,gj
,제2회 광주 버스킹 월드컵,35.1455778836,126.9226794433,1,gj,gj
,광주김치축제,35.1086394471,126.8669908447,1,gj,gj
,광주 추억의 충장축제,35.1454973445,126.9231294053,1,gj,gj
,대구 오토바이골목,35.8722695138,128.5838136357,2,dg,dg
,군위 아미타여래삼존 석굴,36.0477229041,128.6406953770,2,dg,dg
,동화사(대구),35.9903555744,128.7034886742,2,dg,dg
,파계사,36.0014476023,128.6410244261,2,dg,dg
,팔공산도립공원(군위군),36.0492977239,128.6405814539,2,dg,dg
,장군당(효령사),36.1226436732,128.5715104911,2,dg,dg
,군위 장곡자연휴양림,36.1298034567,128.8419725161,2,dg,dg
,인각사,36.1276914161,128.7795058654,2,dg,dg
,군위 팔공산능금마을,36.0480425511,128.6535386794,2,dg,dg
,구암팜스테이마을,35.9527537859,128.6769031848,2,dg,dg
,이월드,35.8548822436,128.5648324581,2,dg,dg
,한밤마을,36.0593162984,128.6549493486,2,dg,dg
,현풍석빙고(상리석빙고),35.6979090105,128.4502913221,2,dg,dg
,관덕정,35.8281018970,128.5624306351,2,dg,dg
,서봉사,35.8540246041,128.5972212958,2,dg,dg
,인흥서원,35.7895581755,128.5155941606,2,dg,dg
,김광석 길 (김광석다시그리기길),35.8614600628,128.6074868512,2,dg,dg
,현풍 500년 느티나무 테마공원,35.7018777878,128.4383061567,2,dg,dg
,마비정 벽화마을,35.7792959366,128.5422448752,2,dg,dg
,대구 근대골목(근대로의 여행),35.8677811868,128.5867579454,2,dg,dg
,서부 오미(味)가미(味)거리,35.8746495855,128.5721868162,2,dg,dg
,앞산 케이블카(앞산 전망대),35.8244027709,128.5871646710,2,dg,dg
,대구섬유박물관,35.9191096976,128.6403017970,2,dg,dg
,고산골 메타쉐콰이어길,35.8300524321,128.6034408589,2,dg,dg
,아이니테마파크(대구 스타디움점),35.8317037939,128.6873500935,2,dg,dg
,동산청라언덕,35.8666257294,128.5849831341,2,dg,dg
,위천수변테마공원,36.1762267311,128.5853160926,2,dg,dg
,군위 화산산성 전망대,36.0990640247,128.7750237401,2,dg,dg
,군위 삼국유사 테마파크,36.1608778549,128.7012896086,2,dg,dg
,앞산 해넘이전망대,35.8322070451,128.5655246933,2,dg,dg
,스파크랜드,35.8687507434,128.5987651942,2,dg,dg
,화본역,36.1269704755,128.6949355746,2,dg,dg
,팔공산하늘정원,36.0234350388,128.6970633102,2,dg,dg
,함지근린공원,35.9425779513,128.5694296112,2,dg,dg
,옻골동산,35.9422614565,128.5767928596,2,dg,dg
,사라온이야기마을,36.2362001424,128.5677576168,2,dg,dg
,김수환 추기경 사랑과 나눔공원,36.2323400809,128.6006187064,2,dg,dg
,창평지친환경생태공원(창평지),36.0921352221,128.6778325146,2,dg,dg
,일연공원,36.1285578635,128.7730203025,2,dg,dg
,반야월연꽃단지,35.8686645503,128.7439829668,2,dg,dg
,법장사(대구),35.8234086688,128.5996413778,2,dg,dg
,법주사,36.2726297081,128.4383208315,2,dg,dg
,현풍포교당,35.6981894668,128.4465583097,2,dg,dg
,군위향교,36.2342364933,128.5686353725,2,dg,dg
,군위 상매댁,36.0586385795,128.6539855641,2,dg,dg
,학소대,36.1242889786,128.7770506231,2,dg,dg
,대율리 송림,36.0592107331,128.6537966756,2,dg,dg
,화산산성,36.0983142281,128.7813732013,2,dg,dg
,병암서원,35.8609140916,128.5212028021,2,dg,dg
,안지랑 곱창골목,35.8369094686,128.5751903786,2,dg,dg
,실비찜갈비,35.8706756365,128.6047840550,3,dg,dg
,주홍산장식당,36.0302303790,128.6371989557,3,dg,dg
,군위이로운한우,36.1784459060,128.5843883341,3,dg,dg
,기러기농장가든,36.0847289836,128.5957788579,3,dg,dg
,봉산찜갈비,35.8712144710,128.6051395639,3,dg,dg
,동곡할매손칼국수,35.8791101308,128.4176530958,3,dg,dg
,상주식당,35.8704060615,128.5960514978,3,dg,dg
,대덕식당,35.8310378812,128.5735656841,3,dg,dg
,원조현풍박소선할매집곰탕,35.6946259664,128.4458056961,3,dg,dg
,길목가든,35.6922134196,128.5043311685,3,dg,dg
,손복자 부산 할매낙지,35.8592011179,128.5604105051,3,dg,dg
,윤옥연할매떡볶이 (구 신천마약할매떡볶이),35.8645598884,128.6170525889,3,dg,dg
,벙글식당,35.8623004637,128.5439590910,3,dg,dg
,동원찜갈비,35.8706923073,128.6051062484,3,dg,dg
,월성찜갈비,35.8707645160,128.6048173827,3,dg,dg
,고구려숯불갈비,35.7987400401,128.4921820803,3,dg,dg
,[백년가게]밀밭베이커리,35.8704755085,128.5966153358,3,dg,dg
,[백년가게]광명반점,35.8791550867,128.5969206224,3,dg,dg
,[백년가게]햇님베이커리,35.8663005990,128.5758811671,3,dg,dg
,밥을짓다,35.9943868120,128.6150963563,3,dg,dg
,빌리웍스,35.8831850318,128.5885268055,3,dg,dg
,후꾸스시,35.8381186367,128.6279079249,3,dg,dg
,아눅앞산,35.8323072121,128.5752071709,3,dg,dg
,갈비만대구본점(갈비만),35.8243321674,128.5237091503,3,dg,dg
,씨레기국수,35.8425869374,128.5933136248,3,dg,dg
,군산집,36.0996285750,128.6648723359,3,dg,dg
,군위참좋은한우직판장,36.1787347470,128.5835883967,3,dg,dg
,리틀맨리,36.0991786371,128.6654500754,3,dg,dg
,신등갈비,36.1036808162,128.6607503636,3,dg,dg
,연화식당,36.2409662474,128.5667020197,3,dg,dg
,우사랑한우마을,36.2460461630,128.5633466171,3,dg,dg
,카페댐댐,36.1233061006,128.7954573601,3,dg,dg
,카페스톤,36.0299191839,128.6307495338,3,dg,dg
,카페우즈,36.0498951726,128.6564717016,3,dg,dg
,한밤황토집,36.0643629142,128.6531521431,3,dg,dg
,앞산 큰골집,35.8375983348,128.5781956503,3,dg,dg
,수다레스토랑,35.9910887297,128.6983529952,3,dg,dg
,트리팜,35.9859295611,128.6217876698,3,dg,dg
,오퐁드부아,35.7524614839,128.6184944645,3,dg,dg
,군위민속한우,36.2448157394,128.5629466878,3,dg,dg
,내안에,35.8301665753,128.6179395792,3,dg,dg
,련,35.9428500147,128.5624746617,3,dg,dg
,더덕고을,35.9471036869,128.6370013046,3,dg,dg
,예원,35.8882093493,128.5823855401,3,dg,dg
,석산복어해물,35.8810864297,128.6513907705,3,dg,dg
,바다회세상,35.8810864297,128.6513907705,3,dg,dg
,거송복어,35.8803146164,128.6687559296,3,dg,dg
,군불로,35.9701416412,128.7273260310,3,dg,dg
,영남식당,35.8622421349,128.5438341034,3,dg,dg
,연화정삼계탕,35.8369116054,128.5403684451,3,dg,dg
,대구 동성로축제,35.8708421283,128.5963236849,1,dg,dg
,대구 꽃박람회,35.9070383402,128.6131378604,1,dg,dg
,대구 신천 해맞이축제,35.8297747414,128.6064628225,1,dg,dg
,제20회 대구음식산업박람회,35.9070383402,128.6131378604,1,dg,dg
,남구 청년예술제,35.8313434631,128.5768987154,1,dg,dg
,대구치맥페스티벌,35.8508964729,128.5587997668,1,dg,dg
,파워풀대구페스티벌,35.8710892750,128.5937461266,1,dg,dg
,대구도시농업박람회,35.8329539154,128.7015654749,1,dg,dg
,수성못페스티벌,35.8293778245,128.6205949230,1,dg,dg
,이월드 블라썸 피크닉,35.8548989086,128.5648463453,1,dg,dg
,이월드 일루미네이션,35.8548822436,128.5648324581,1,dg,dg
,이월드 튤립트래블,35.8548822436,128.5648324581,1,dg,dg
,천을산 해맞이,35.8513933739,128.6949710964,1,dg,dg
,장미꽃 필(feel)무렵 축제,35.8592030464,128.5142479072,1,dg,dg
,대구앞산축제,35.8324431329,128.5657357794,1,dg,dg
,이월드 트로피컬 아쿠아 빌리지,35.8548822436,128.5648324581,1,dg,dg
,달성 대구현대미술제,35.8412902808,128.4649721907,1,dg,dg
,대구 문화재 야행,35.8711336027,128.5876911034,1,dg,dg
,가족사랑 아이스축제,35.8734436426,128.5437254687,1,dg,dg
,청소년 무대 예술 페스티벌,35.8451165839,128.5594887553,1,dg,dg
,이월드 호러 어드벤처 :  좀비 스테이션,35.8548822436,128.5648324581,1,dg,dg
,디아크 강빛축제,35.8412902808,128.4649721907,1,dg,dg
,대구수제맥주페스티벌,35.8293778245,128.6205949230,1,dg,dg
,대구단편영화제,35.8707170159,128.5894631814,1,dg,dg
,이월드 가을축제 <인생꽃 사진관>,35.8548989086,128.5648463453,1,dg,dg
,금호강바람소리길축제,35.9116404433,128.6048329084,1,dg,dg
,이월드 수국 포레스트 가든,35.8548989086,128.5648463453,1,dg,dg
,경북사과홍보행사,35.8252905872,128.6850199220,1,dg,dg
,네이처파크 [미라클 크리스마스],35.7881605357,128.6353392148,1,dg,dg
,네이처파크 스윗윈터페스티벌,35.7881605357,128.6353392148,1,dg,dg
,수성빛예술제,35.8285501511,128.6211948931,1,dg,dg
,네이처파크 플라워 페스티벌,35.7881605357,128.6353392148,1,dg,dg
,대구 정신건강축제,35.9071133308,128.6130989730,1,dg,dg
,2022대한민국불교문화엑스포,35.9072105425,128.6131211911,1,dg,dg
,2023 키스포츠 페스티벌 대구 엑스코,35.9071133308,128.6130989730,1,dg,dg
,대구인물기행,35.8691449481,128.5881550068,1,dg,dg
,이월드 퍼플 아일랜드,35.8550515822,128.5601217577,1,dg,dg
,대구데이 페스티벌,35.8294277788,128.6184145579,1,dg,dg
,대구 떡볶이 페스티벌,35.8804436428,128.5867964789,1,dg,dg
,D-MEDI FESTA,35.8693367591,128.5971819845,1,dg,dg
,빅피플 페스티벌,35.8753122114,128.6583042116,1,dg,dg
,아양수제맥주페스티벌,35.8830445122,128.6498241872,1,dg,dg
,2022 글로벌 이노베이터 페스타,35.9071133308,128.6130989730,1,dg,dg
,군위 사랑과 나눔 문화축전,36.2371640295,128.5735765191,1,dg,dg
,대구국제오페라축제,35.8834461788,128.5920987054,1,dg,dg
,2023 대구 FCI 국제 도그쇼 및 제 102회 KKF 전국 애견미용 콘테스트,35.9071133308,128.6130989730,1,dg,dg
,이월드 사루비아 가든,35.8550515822,128.5601217577,1,dg,dg
,대구약령시한방문화축제,35.8673230099,128.5923963501,1,dg,dg
,"제19회 호러와함께, 2022 대구국제힐링공연예술제",35.8588709045,128.5769646120,1,dg,dg
,숭현서원지,36.3799348117,127.4041960664,2,dj,dj
,대전교통문화연수원,36.3772070293,127.3863644022,2,dj,dj
,회덕향교 대성전,36.3839096653,127.4215166313,2,dj,dj
